 time            time            v(n1)           v(n2)           v(n3)           i(vdd)         
 2.05280000e-10  2.05280000e-10 -3.98038247e-02  1.77627368e+00  5.98377338e-02 -2.01501376e-03 
 2.06280000e-10  2.06280000e-10 -4.54727344e-02  1.77698894e+00  5.69227494e-02 -2.01663913e-03 
 2.07280000e-10  2.07280000e-10 -5.12129989e-02  1.77762984e+00  5.40056547e-02 -1.99785783e-03 
 2.08280000e-10  2.08280000e-10 -5.68596320e-02  1.77823925e+00  5.11068424e-02 -1.99906160e-03 
 2.09280000e-10  2.09280000e-10 -6.20447202e-02  1.77889792e+00  4.82563679e-02 -2.00619313e-03 
 2.10280000e-10  2.10280000e-10 -6.63363136e-02  1.77968591e+00  4.54476428e-02 -2.04132887e-03 
 2.11280000e-10  2.11280000e-10 -6.91885990e-02  1.78069067e+00  4.26238240e-02 -2.07146546e-03 
 2.12280000e-10  2.12280000e-10 -7.00658300e-02  1.78200140e+00  3.98206442e-02 -2.11588071e-03 
 2.13280000e-10  2.13280000e-10 -6.85389748e-02  1.78368706e+00  3.71473824e-02 -2.15198436e-03 
 2.14280000e-10  2.14280000e-10 -6.42289507e-02  1.78579368e+00  3.46699300e-02 -2.20031339e-03 
 2.15280000e-10  2.15280000e-10 -5.68054994e-02  1.78834949e+00  3.24246719e-02 -2.23717092e-03 
 2.16280000e-10  2.16280000e-10 -4.59792649e-02  1.79137021e+00  3.04268930e-02 -2.28238798e-03 
 2.17280000e-10  2.17280000e-10 -3.14866355e-02  1.79486507e+00  2.86772194e-02 -2.31180371e-03 
 2.18280000e-10  2.18280000e-10 -1.30543242e-02  1.79884629e+00  2.71671158e-02 -2.34466200e-03 
 2.19280000e-10  2.19280000e-10  9.85135138e-03  1.80338126e+00  2.58876601e-02 -2.35309512e-03 
 2.20280000e-10  2.20280000e-10  3.95982689e-02  1.80890523e+00  2.48309893e-02 -2.36337438e-03 
 2.21280000e-10  2.21280000e-10  7.62983905e-02  1.81536312e+00  2.39587155e-02 -2.36705656e-03 
 2.22280000e-10  2.22280000e-10  1.17509186e-01  1.82220282e+00  2.32250837e-02 -2.37510593e-03 
 2.23280000e-10  2.23280000e-10  1.62973677e-01  1.82937406e+00  2.26033060e-02 -2.36822604e-03 
 2.24280000e-10  2.24280000e-10  2.12086455e-01  1.83676772e+00  2.20581817e-02 -2.37549050e-03 
 2.25280000e-10  2.25280000e-10  2.64230364e-01  1.84428929e+00  2.15606527e-02 -2.36938425e-03 
 2.26280000e-10  2.26280000e-10  3.19048459e-01  1.85191160e+00  2.10961764e-02 -2.37176098e-03 
 2.27280000e-10  2.27280000e-10  3.76195468e-01  1.85961686e+00  2.06535228e-02 -2.36179158e-03 
 2.28280000e-10  2.28280000e-10  4.35345253e-01  1.86739655e+00  2.02246704e-02 -2.36131545e-03 
 2.29280000e-10  2.29280000e-10  4.96297010e-01  1.87521381e+00  1.97993025e-02 -2.34865194e-03 
 2.30280000e-10  2.30280000e-10  5.58872548e-01  1.88283734e+00  1.93404193e-02 -2.35372914e-03 
 2.31280000e-10  2.31280000e-10  6.22409572e-01  1.88979261e+00  1.87908892e-02 -2.35534022e-03 
 2.32280000e-10  2.32280000e-10  6.85628713e-01  1.89549382e+00  1.80940495e-02 -2.36418712e-03 
